lemma,definition,count
fluoridising,subject to fluoridation; treat with fluoride,58
imperfectest,not perfect; defective or inadequate,58
candyweed,bog plant of pine barrens of southeastern United States having spikes of irregular yellow-orange flowers,58
jupaty,a tall Brazilian feather palm with a terminal crown of very large leathery pinnatisect leaves rising from long strong stems used for structural purposes,58
unevenest,not even or uniform as e.g. in shape or texture,58
straightforwarder,free from ambiguity,58
demasculinise,remove the testicles of a male animal,57
taraktagenos,medium to large Indonesian and Malaysian trees,57
vetchworm,larva of a noctuid moth; highly destructive to especially corn and cotton and tomato crops,57
synercus,Cape buffalo,57
exbibyte,a unit of information equal to 1024 pebibytes or 2^60 bytes,57
bedighting,decorate,56
psilotatae,"whisk ferns; comprising the family Psilotaceae or Psilotatae: vascular plants with no roots, partial if any leaf differentiation, and rudimentary spore sacs",56
phlebotomizes,draw blood,56
wedeled,"ski, alternating directions",56
inhumanest,without compunction or human feeling,56
triostium,genus of Asiatic and North American herbs: feverroot,56
jocundest,full of or showing high-spirited merriment; ; - Wordsworth,56
etherises,anesthetize with ether,56
anagrammatises,read letters out of order to discover a hidden meaning,56
iridoncus,swelling of the iris of the eye,55
capsulises,enclose in a capsule,55
embrangles,make more complicated or confused through entanglements,55
telepathizes,communicate nonverbally by telepathy,54
carposporous,having carpospores,54
tichodrome,crimson-and-grey songbird that inhabits town walls and mountain cliffs of southern Eurasia and northern Africa,54
unforethoughtful,lacking forethought,54
jewbush,low tropical American shrub having powerful emetic properties,54
hyperlipoidaemia,presence of excess lipids in the blood,53
eightvo,the size of a book whose pages are made by folding a sheet of paper three times to form eight leaves,53
basifies,turn basic and less acidic,53
secernate,mark as different,53
footslogs,"walk heavily and firmly, as when weary, or through mud",53
hygienise,make sanitary by cleaning or sterilizing,52
harlequining,variegate with spots or marks,52
unitises,divide (bulk material) and process as units,52
voltarean,in the manner of Voltaire,52
mayidism,a disease caused by deficiency of niacin or tryptophan (or by a defect in the metabolic conversion of tryptophan to niacin); characterized by gastrointestinal disturbances and erythema and nervous or mental disorders; may be caused by malnutrition or alcoholism or other nutritional impairments,52
theologiser,someone who is learned in theology or who speculates about theology,51
tribulates,oppress or trouble greatly,51
detribalises,cause members of a tribe to lose their cultural identity,51
mongrelises,cause to become a mongrel,51
winteriest,characteristic of or occurring in winter,51
chichiest,affectedly trendy and fashionable,51
seasicker,experiencing motion sickness,51
telepathising,communicate nonverbally by telepathy,50
clinocephalism,a congenital defect in which the top of the head is depressed (concave instead of convex),50
displumes,"strip of honors, possessions, or attributes",50
onomancer,one who practices onomancy,50
scranches,make a crushing noise,50
floodhead,a wall of water rushing ahead of the flood,49
creashak,evergreen mat-forming shrub of North America and northern Eurasia having small white flowers and red berries; leaves turn red in autumn,49
vitriolled,expose to the effects of vitriol or injure with vitriol,49
imminentness,the state of being imminent and liable to happen soon,49
mundanest,found in the ordinary course of events; ; ; - Anita Diamant,49
unpermissiveness,a lack of permissiveness or indulgence and a tendency to confine behavior within certain specified limits,49
uptighter,being in a tense state,49
humidest,containing or characterized by a great deal of water vapor,49
tabularises,arrange or enter in tabular form,49
burglarises,commit a burglary; enter and rob a dwelling,48
discasing,get undressed,48
carnalises,debase through carnal gratification,48
frontstall,medieval plate armor to protect a horse's head,48
sailplaned,fly a plane without an engine,48
nauseatingness,extreme unpalatability to the mouth,47
unappetizingness,the property of spoiling the appetite,47
spicemill,a mill for grinding spices,47
obeser,excessively fat,47
waggonwright,a wagon maker,47
atrophedema,"recurrent large circumscribed areas of subcutaneous edema; onset is sudden and it disappears within 24 hours; seen mainly in young women, often as an allergic reaction to food or drugs",47
mailsorter,a sorter for sorting mail according to the address,47
ortygan,any of several East Indian birds,47
rotundest,spherical in shape,47
terrietia,"small genus of timber trees of eastern Asia, Australasia and tropical Africa that form large buttresses",46
religiousism,exaggerated or affected piety and religious zeal,46
yanquapin,water lily of eastern North America having pale yellow blossoms and edible globular nutlike seeds,46
tunaburger,a sandwich that resembles a hamburger but made with tuna instead of beef,46
diabolises,turn into a devil or make devilish,46
polyplacophore,primitive elongated bilaterally symmetrical marine mollusk having a mantle covered with eight calcareous plates,45
crocolite,a rare lead chromite mineral that forms bright orange crystals,45
yauped,emit long loud cries,45
bespeckles,mark with small spots,44
mussitated,talk indistinctly; usually in a low voice,44
holeyest,allowing passage in and out,44
discerping,divide into pieces,44
clareting,drink claret,43
putrider,of or relating to or attended by putrefaction,43
keratonosus,any disease of the cornea,43
wrawls,"cry loudly, as of animals",43
meerestone,an old term for a landmark that consisted of a pile of stones surmounted by an upright slab,43
colourises,add color to,42
mussitating,talk indistinctly; usually in a low voice,42
gynaeolatry,the worship of women,42
arterialises,change venous blood into arterial blood,42
unsubtlest,lacking subtlety; obvious,41
aquilege,a plant of the genus Aquilegia having irregular showy spurred flowers; north temperate regions especially mountains,41
corakan,"East Indian cereal grass whose seed yield a somewhat bitter flour, a staple in the Orient",41
disforests,remove the trees from,41
quetching,"express complaints, discontent, displeasure, or unhappiness",40
jaggiest,having an irregularly notched or toothed margin as though gnawed,40
