lemma,count
stupid,461013
hate,460286
dog,458766
john,457305
team,456533
funny,453546
sighs,453381
king,452065
outside,448632
news,446797
needs,444815
black,443615
months,442396
seems,441943
ahead,441815
pick,440506
buy,440491
plan,439476
bed,438789
bitch,438565
order,435768
hurry,435251
sometimes,431789
country,429587
white,426056
along,425967
running,423374
promise,422598
anybody,422366
shoot,422052
hour,421054
jesus,420752
lose,418905
food,417232
mrs.,416705
fact,412639
small,411569
early,409216
book,407284
feeling,407260
living,403830
l,400938
sent,398226
red,396293
taken,393341
become,390893
leaving,390394
dinner,389742
control,388607
lives,388480
air,385939
sick,384823
chuckles,383660
human,383131
drive,382561
perfect,381813
touch,381570
special,379505
sounds,378379
himself,377848
boss,376865
daddy,373843
company,373833
perhaps,373699
earth,372469
sort,370734
scared,369139
laughing,368412
serious,367525
sound,365683
ten,364582
top,364490
past,363943
strong,362993
hang,362294
follow,358789
law,357909
cold,357391
asking,357351
president,357298
luck,355608
possible,355541
pull,354270
parents,354180
happens,351433
street,350963
sweet,350940
glad,347066
till,346898
laughs,345666
win,343288
poor,341806
million,341492
hair,341298
seem,337213
known,336133
clean,334747
murder,334574
lucky,334419
sense,333414
master,332623
catch,332266
lie,331854
ship,331795
speaking,331608
gentlemen,330458
words,328309
voice,328258
dream,328144
meeting,326983
finally,326505
hospital,326242
uncle,325753
bet,325214
drop,324629
ooh,322664
alright,322639
sign,322605
sam,322402
calling,321706
secret,320896
dance,320528
somewhere,320291
weeks,318512
step,318283
sex,318110
less,317752
others,317677
eye,315693
strange,312975
moving,311996
straight,311093
dude,310705
write,310507
piece,308954
careful,308536
quiet,307135
figure,305091
worked,304750
quick,304264
future,303761
felt,303702
return,303686
fall,303472
rather,302130
beat,299780
coffee,299643
ladies,299298
date,298078
road,297548
takes,297396
general,296700
questions,296425
choice,296307
looked,295838
state,294989
feet,293936
ya,293896
given,293815
security,293698
seeing,293556
learn,293144
evening,292775
calm,292646
worth,292594
frank,292509
fault,292038
none,291790
dark,291204
throw,289615
loved,289568
seven,288036
explain,287366
wake,287317
turned,285489
i'm,285388
officer,284973
changed,283331
happening,283271
picture,282642
weird,282569
kidding,280888
absolutely,280294
wonderful,279447
report,278247
giving,277694
agent,277636
land,276869
mad,276671
deep,275715
ride,275245
class,274783
works,274613
ma'am,274213
system,274071
pain,273689
needed,271520
low,271478
building,270954
ones,270156
wonder,269335
michael,267929
missing,266379
song,266344
pass,265956
chief,265795
unless,265337
mouth,265312
act,264471
near,264448
attack,263659
buddy,262358
smart,261735
information,260968
screaming,260380
yesterday,258744
train,258181
mistake,258003
protect,257975
watching,257941
meant,256762
darling,256498
charlie,256242
mmm,255898
kept,255625
george,255439
kiss,255177
busy,254658
suppose,254425
worried,254338
amazing,252963
eight,252886
caught,252375
joe,252213
finish,252041
message,252031
tv,252004
tired,251442
blue,250947
york,250873
broke,249924
bill,249076
mike,248501
court,247966
army,247641
short,247411
born,246658
lead,245726
lying,245520
movie,245512
ring,245443
floor,244730
radio,244664
evidence,244631
christmas,244589
bag,244444
david,244325
month,244157
except,243993
goodbye,243733
handle,243286
wedding,243157
imagine,242513
tom,242313
expect,241921
birthday,241665
entire,241570
forever,241381
rock,241264
cover,240892
sell,240729
simple,240352
middle,239472
forgive,239422
american,239365
thinks,239362
swear,237839
terrible,237304
history,236345
hotel,236268
across,236242
completely,235447
honor,235242
ground,235002
anywhere,234939
box,234905
seriously,234896
wear,234879
dangerous,234346
totally,234091
fair,234004
decided,233636
fear,233384
miles,233330
station,233280
age,231938
force,231930
la,231399
attention,230956
clothes,230868
cell,230615
goddamn,230488
table,230374
situation,230193
blow,229655
boat,229265
marry,228545
instead,228534
round,228308
key,227930
christ,227785
certainly,227775
peter,227605
ran,227437
definitely,227214
talked,226807
during,226777
paid,226473
sun,226365
fly,226072
killing,226049
peace,225976
single,225339
ball,224388
lovely,223914
space,223463
charge,223394
stick,223159
test,223121
join,222871
count,221722
eh,220919
using,220803
sitting,219993
crime,219813
brain,219800
prison,219436
government,218570
cop,217852
list,217760
relax,217548
mama,216882
continues,216800
horse,216715
spend,216570
grunts,216449
personal,216422
major,216124
normal,215382
tough,215348
present,214062
star,214021
slow,213999
interesting,213856
wall,213756
saved,213588
fool,213329
mark,213094
detective,213027
crying,212824
fighting,212739
forgot,212702
finished,212694
ice,212642
sing,212381
cause,212104
fix,211994
hide,211871
offer,211837
gold,211702
club,211354
enjoy,211256
missed,211173
rich,211028
record,210783
won,210745
bastard,210481
accident,210366
paper,210319
service,210174
bank,209643
o,209475
fuckin,209315
killer,209283
proud,209181
mary,209119
yo,208841
wearing,208500
bar,208413
certain,208255
cops,207970
area,207946
soul,207915
stopped,207907
bought,207294
respect,207079
group,207051
surprise,206815
forward,206456
letter,205707
machine,204781
lunch,204551
position,203844
ben,202828
standing,202796
fish,202755
idiot,202612
english,202397
fell,201863
queen,201656
smell,201574
lt,200469
paul,200369
third,199876
holy,199788
trip,199681
plane,199658
america,199612
girlfriend,199556
park,199515
quickly,199400
agree,198517
lieutenant,198500
grunting,197709
calls,197192
contact,197112
card,197035
window,196661
james,196625
private,196437
mess,196315
interested,196251
harry,196006
broken,195997
green,195367
seconds,195008
within,194922
share,194892
public,194028
field,193514
seat,193479
shh,193267
aah,193263
feels,193182
scene,192848
drunk,192845
pleasure,192751
nine,192490
film,192395
french,192214
problems,192041
gasps,191852
afternoon,191411
sea,191404
north,191312
church,190412
sad,190259
hungry,190241
don't,190050
south,189938
colonel,189373
appreciate,188645
starting,188189
marriage,187953
honest,187660
camera,187487
realize,187271
dying,186819
spent,186435
