lemma,definition,count
directional,relating to or indicating directions in space,1391
ventricle,one of four connected cavities in the brain; is continuous with the central canal of the spinal cord and contains cerebrospinal fluid,1390
unsupervised,not supervised or under constant observation,1389
jumble,a confused multitude of things,1389
molding,the act of creating something by casting it in a mold,1389
christen,administer baptism to,1389
amazement,the feeling that accompanies something extremely surprising,1389
bestest,(superlative of `good') having the most positive qualities,1389
swerved,turn sharply; change direction abruptly,1388
slowest,not moving quickly; taking a comparatively long time,1388
retaining,hold back within,1388
squabbling,argue over petty things,1388
converging,the act of converging (coming closer),1388
v.p.,an executive officer ranking immediately below a president; may serve in the president's place under certain circumstances,1388
nicker,the characteristic sounds made by a horse,1388
parasitic,relating to or caused by parasites,1388
guardianship,attention and management implying responsibility for safety,1388
playhouse,plaything consisting of a small model of a house that children can play inside of,1387
characterize,describe or portray the character or the qualities or peculiarities of,1387
aiken,United States writer (1889-1973),1387
southerner,an American who lives in the South,1387
inconspicuous,not prominent or readily noticeable,1387
traverse,travel across or pass over,1387
knapsack,a bag carried by a strap on your back or shoulder,1387
endures,put up with something or somebody unpleasant,1387
impunity,exemption from punishment or loss,1386
gulag,a Russian prison camp for political prisoners,1386
vas,a tube in which a body fluid circulates,1386
unknowingly,without knowledge or intention,1386
lind,Swedish soprano who toured the United States under the management of P. T. Barnum (1820-1887),1386
steeple,a tall tower that forms the superstructure of a building (usually a church or temple) and that tapers to a point at the top,1386
rotor,the rotating armature of a motor or generator,1386
wylie,United States poet (1885-1928),1386
hounded,pursue or chase relentlessly,1386
splutter,the noise of something spattering or sputtering explosively,1386
overzealous,marked by excessive enthusiasm for and intense devotion to a cause or idea,1385
lansing,capital of the state of Michigan; located in southern Michigan on the Grand River,1385
khaki,of a yellowish brown color,1385
gooder,having desirable or positive qualities especially those suitable for a thing specified,1385
bruges,a city in northwestern Belgium that is connected by canal to the North Sea; in the 13th century it was a leading member of the Hanseatic League; the old city (known as the City of Bridges) is a popular tourist attraction,1385
spatula,a turner with a narrow flexible blade,1385
vaporize,kill with or as if with a burst of gunfire or electric current or as if by shooting,1385
laguna,a body of water cut off from a larger body by a reef of sand or coral,1385
memorandum,a written proposal or reminder,1384
alerting,a state of readiness to respond,1384
texan,a native or resident of Texas,1383
straightening,straighten up or out; make straight,1383
underlined,give extra weight to (a communication),1383
justifiable,capable of being justified,1383
forsaking,the act of forsaking,1383
sifting,the act of separating grain from chaff,1383
varys,"become different in some particular way, without permanently losing one's or its former characteristics or essence",1383
pomegranate,shrub or small tree native to southwestern Asia having large red many-seeded fruit,1382
synergy,the working together of two things (muscles or drugs for example) to produce an effect greater than the sum of their individual effects,1382
wisp,a small tuft or lock,1382
invoked,"summon into action or bring into existence, often as if by magic",1382
applesauce,puree of stewed apples usually sweetened and spiced,1381
locus,the scene of any event or action (especially the place of a meeting),1381
nativity,the event of being born,1381
corsica,an island in the Mediterranean; with adjacent islets it constitutes a region of France,1381
beckons,signal with the hands or nod,1381
miri,little known Kamarupan languages,1381
debit,an accounting entry acknowledging sums that are owing,1380
printout,the output of a computer in printed form,1380
adoration,a feeling of profound love and admiration,1380
retires,go into retirement; stop performing one's work or withdraw from one's position,1380
wormwood,any of several low composite herbs of the genera Artemisia or Seriphidium,1380
nunnery,the convent of a community of nuns,1380
evaporated,lose or cause to lose liquid by vaporization leaving a more concentrated residue,1380
predicts,make a prediction about; tell in advance,1379
naga,Kamarupan languages spoken in northeastern India and western Burma,1379
nauseating,upset and make nauseated,1379
workhouse,a poorhouse where able-bodied poor are compelled to labor,1379
sussex,a county in southern England on the English Channel; formerly an Anglo-Saxon kingdom that was captured by Wessex in the 9th century,1379
brownstone,a reddish brown sandstone; used in buildings,1379
nullah,a ravine or gully in southern Asia,1379
pondering,reflect deeply on a subject,1379
shebang,an entire system; used in the phrase `the whole shebang',1379
busier,actively or fully engaged or occupied,1379
callback,a request by the manufacturer of a defective product to return the product (as for replacement or repair),1379
methodist,of or pertaining to or characteristic of the branch of Protestantism adhering to the views of Wesley,1378
pram,a small vehicle with four wheels in which a baby or child is pushed around,1378
pragmatic,concerned with practical matters,1378
oni,the military intelligence agency that provides for the intelligence and counterintelligence and investigative and security requirements of the United States Navy,1378
flintstone,pebbles of flint used in masonry construction,1378
stamping,walk heavily,1377
reiterate,"to say, state, or perform again",1377
decryption,the activity of making clear or converting from code into plain text,1377
scrambler,a rapid mover; someone who scrambles,1377
pollute,make impure,1377
carpentry,the craft of a carpenter: making things out of wood,1376
lally,support column consisting of a steel cylinder filled with concrete,1376
pituitary,the master gland of the endocrine system; located at the base of the brain,1376
labrador,the mainland part of the province of Newfoundland and Labrador in the eastern part of the large Labrador-Ungava Peninsula in northeastern Canada,1376
loosing,grant freedom to; free from confinement,1376
p.e.,the mechanical energy that a body has by virtue of its position; stored energy,1376
tricycle,a vehicle with three wheels that is moved by foot pedals,1376
winkle,small edible marine snail; steamed in wine or baked,1375
undisclosed,not made known,1375
crumbled,fall apart,1375
