lemma,count
funny,443739
months,442396
fly,441896
ahead,441815
hurry,441023
hot,439763
state,439235
date,437499
white,435631
expect,435597
picture,434684
step,432639
cop,432160
sometimes,431789
country,429587
grunt,428352
continue,426851
ship,426331
along,425967
clean,424967
anybody,422366
report,421729
hour,421054
jesus,420752
food,417232
mrs.,416705
sort,416640
force,413865
star,413483
fact,412639
attack,408799
company,408675
decide,408455
piece,407957
wake,403534
land,399967
air,399082
arm,398757
red,396293
parent,395657
l,395478
record,394941
surprise,394808
boss,393541
burn,392266
dinner,389742
top,388305
cover,386427
perfect,385696
human,383131
sick,382068
voice,380333
special,379505
himself,377848
kiss,376140
key,374319
daddy,373843
perhaps,373699
sense,373151
earth,372469
officer,367547
serious,367525
master,366260
bet,365617
teach,364882
ten,364582
past,363943
mistake,363766
explain,362787
small,362719
protect,362180
tire,359570
fast,359469
charge,359411
law,357909
president,357298
test,356519
luck,355608
possible,355541
cause,354225
offer,352146
street,350963
lock,349600
cold,347889
glad,347066
till,346898
dress,346109
ball,343178
million,341492
hair,341298
agree,336686
poor,336083
rule,335715
sweet,334173
knock,333079
carry,331651
gentlemen,330458
paper,329020
count,327924
lucky,326778
finally,326505
hospital,326242
uncle,325753
ooh,322664
alright,322639
sam,322402
secret,320896
allow,320815
choose,320674
somewhere,320291
bag,319933
sex,319862
weeks,318512
rock,317826
others,317677
join,316647
fix,315323
cheer,311396
straight,311093
dude,310705
longer,310559
less,309689
horse,309401
careful,308536
class,308443
general,307672
handle,306010
park,305612
mark,304940
future,303761
felt,303702
enjoy,303356
destroy,303215
ride,303016
rather,302130
quiet,302116
box,301351
calm,301309
drug,301147
bill,300819
message,300221
coffee,299643
age,299618
ladies,299298
realize,299221
card,298909
letter,298766
smell,298592
fault,298370
fool,298200
road,297548
swear,297530
frank,296962
wall,296913
mouth,296450
choice,296307
gasp,294680
feet,293936
ya,293896
arrest,293845
security,293698
push,293333
worth,292594
none,291790
imagine,291684
pain,290668
kick,290292
mess,290155
brain,288530
seven,288036
breathe,286899
reach,285750
i'm,285388
share,284078
groan,283793
joke,282840
quick,282023
wind,281668
fear,281620
absolutely,280294
hat,279750
wonderful,279447
agent,277636
present,277521
honor,277422
forgive,275427
mad,274965
strong,274600
station,274231
ma'am,274213
system,274071
hop,273195
jump,273017
amaze,272952
weird,272629
blue,272587
dark,272388
round,270465
ones,270156
cross,268609
early,268516
michael,267929
fish,267293
service,266993
court,266763
prove,266548
notice,266456
worse,266388
song,266344
chief,265795
unless,265337
floor,264953
bank,264671
boat,263856
film,263787
guard,263262
clothe,263032
track,262571
buddy,262358
bar,261353
information,260968
jam,260079
seat,259971
visit,259578
rise,259376
yesterday,258744
darling,256498
charlie,256242
mmm,255898
tree,255534
george,255439
grind,254816
table,254680
eight,252886
radio,252537
smoke,252230
joe,252213
glass,252084
tv,252004
respect,251584
search,251140
busy,250955
pant,250954
york,250873
wed,249662
short,249185
mike,248501
lay,248328
list,248169
consider,247848
army,247641
roll,247595
machine,247543
contact,246773
relax,246006
movie,245512
waste,244940
evidence,244631
christmas,244589
david,244325
raise,244186
month,244157
except,243993
prepare,243822
goodbye,243733
file,243698
bird,243608
strange,243106
tom,242313
escape,241697
birthday,241665
entire,241570
forever,241381
judge,241234
near,240645
treat,240248
soldier,240001
middle,239472
accept,239457
american,239365
grab,239189
group,238253
field,238234
draw,238142
club,237536
terrible,237304
shout,236499
arrive,236487
history,236345
hotel,236268
across,236242
position,236124
space,235464
completely,235447
create,234999
anywhere,234939
seriously,234896
trip,234521
dangerous,234346
totally,234091
shop,233971
miles,233330
single,232784
la,231399
study,231192
attention,230956
fair,230923
cell,230615
rid,230575
goddamn,230488
serve,230458
situation,230193
sun,229886
bomb,228833
instead,228534
partner,228050
christ,227785
certainly,227775
peter,227605
beep,227506
definitely,227214
during,226777
mention,226283
peace,225976
deep,225959
simple,225928
ice,225176
smart,224832
